latitude,longitude,nome,tipo
41.48172,-8.528764,Couto De Cambeses,halt
40.868136,-8.494134,Couto De Cucujães,halt
38.6677,-9.164807,Cova Da Piedade,station
41.421506,-8.300847,Covas,halt
41.152371,-7.688072,Covelinhas,station
40.277537,-7.496063,Covilhã,station
39.269442,-7.63528,Crato,halt
38.699796,-9.252204,Cruz Quebrada,halt
38.163166,-7.894851,Cuba,station
41.376474,-8.341908,Cuca,halt
40.424547,-8.4561,Curia,halt
39.547933,-8.429793,Curvaceiras,halt
41.222307,-8.638997,Custió,station
41.180651,-8.681253,Câmara De Matosinhos,station
41.129662,-8.606172,Câmara Gaia,station
41.200692,-8.649748,Cândido Dos Reis,station
41.17151,-8.355427,Cête,station
39.344501,-9.172402,Dagorda - Peniche,halt
41.68023,-8.781954,Darque,station
39.042558,-9.184618,Dois Portos,station
41.119528,-8.606228,Dom João Ii,station
40.13252,-7.47346,Donas,halt
41.639066,-8.667017,Durrães,halt
40.609442,-8.531701,Eirol,station
40.63114,-8.568389,Eixo,station
38.895542,-7.142277,Elvas,station
38.74457,-9.148592,Entrecampos,station
39.46165,-8.47375,Entroncamento,station
41.217124,-8.554151,Ermesinde,station
41.124275,-7.950901,Ermida,station
38.002774,-8.413982,Ermidas-Sado,station
40.919628,-8.516414,Escapães,halt
40.641503,-8.61798,Esgueira,halt
41.379458,-8.521563,Esmeriz,halt
40.96277,-8.635499,Esmoriz,station
39.050766,-8.902518,Espadanal Da Azambuja,halt
40.209065,-8.470772,Espadaneira,halt
41.006287,-8.644395,Espinho,halt
41.002171,-8.643531,Espinho - Vouga,station
41.909336,-8.792933,Esqueiro,halt
40.751148,-8.575476,Estarreja,station
41.696797,-8.830268,Estação,halt
38.703251,-9.398725,Estoril,station
41.160503,-8.582045,Estádio Do Dragão,station
41.185742,-8.661223,Estádio Do Mar,station
37.143445,-8.485495,Estômbar-Lagoa,station
41.405565,-8.529425,Famalicão,station
39.531634,-9.085714,Famalicão Da Nazaré,halt
40.879232,-8.494915,Faria,halt
41.157228,-8.609283,Faria Guimarães,station
37.019258,-7.940441,Faro,station
40.149294,-7.410384,Fatela - Penamacor,halt
40.663978,-7.912813,Feira De São Mateus,halt
39.022447,-9.179362,Feliteira,halt
38.63643,-8.691538,Fernando Pó,halt
41.144542,-7.331499,Ferradosa,halt
37.138763,-8.519073,Ferragudo,halt
41.530807,-8.441485,Ferreiros,halt
41.161881,-7.611246,Ferrão,halt
40.148485,-8.846896,Figueira Da Foz,station
38.609888,-9.101523,Fogueteiro,station
38.665531,-9.193993,Fomega,station
40.141907,-8.813791,Fontela,station
40.146326,-8.8249,Fontela-A,halt
40.179476,-8.607076,Formoselha - Santo Varão,halt
40.610313,-7.527038,Fornos De Algodres,station
38.620629,-9.128843,Foros De Amora,halt
41.081567,-8.647481,Francelos,halt
41.165486,-8.636351,Francos,station
39.614014,-7.715766,Fratel,station
40.593216,-6.904456,Freineda,halt
41.134691,-7.211171,Freixo De Numão - Mós Do Douro,halt
37.727207,-8.337909,Funcheira,station
40.141015,-7.496279,Fundão,station
39.616507,-8.495005,Fungalvaz,halt
37.060214,-7.75179,Fuseta,station
37.05366,-7.749659,Fuseta-A,halt
41.129759,-8.620282,Gaia,station
40.521771,-7.21455,Gata,halt
41.133188,-8.608679,General Torres,station
41.36456,-8.388758,Giesteira,halt
38.682497,-9.152278,Gil Vicente,station
38.716149,-9.142699,Glória - Restauradores,halt
38.714153,-9.14395,Glória - São Pedro De Alcântara,halt
41.166235,-7.799117,Godim,station
41.919994,-8.763146,Gondarém,halt
40.573396,-7.602093,Gouveia,station
41.038534,-8.647129,Granja,station
40.164905,-8.63471,Granja Do Ulmeiro - Alfarelos,station
38.181787,-8.554532,Grândola,station
40.552455,-7.239847,Guarda,station
39.948163,-8.801778,Guia,halt
41.214713,-8.658646,Guifões,station
41.435127,-8.294296,Guimarães,station
41.14652,-8.593045,Heroísmo,station
41.105823,-8.591148,Hospital Santos Silva,station
41.183233,-8.602275,Hospital São João,station
41.701762,-8.834158,Igreja,halt
41.181213,-8.60456,Ipo,station
41.181215,-8.342175,Irivo,station
41.137615,-8.608707,Jardim Do Morro,station
38.742088,-9.168913,Jardim Zoológico,station
38.949774,-9.233402,Jerumelo,halt
41.126095,-8.605661,João De Deus,station
41.140672,-8.119419,Juncal,station
37.108331,-8.671295,Lagos,station
39.528825,-8.469032,Lamarosa,station
40.98377,-8.605286,Lapa,halt
40.474228,-7.922156,Lapa Do Lobo,halt
38.74825,-9.173036,Laranjeiras,station
38.655839,-9.154379,Laranjeiro,station
39.988665,-7.440832,Lardosa,station
40.129548,-8.78751,Lares,halt
38.717836,-9.141815,Lavra - Largo Da Anunciada,halt
38.71864,-9.140161,Lavra - Rua Câmara Pestana,halt
38.661825,-9.058312,Lavradio,station
41.243832,-8.556776,Leandro,station
39.756662,-8.827963,Leiria,station
41.208411,-8.629535,Leça Do Balio,station
38.714591,-9.141841,Lisboa - Rossio,station
38.71463,-9.122042,Lisboa - Santa Apolónia,station
